date,lat,lon,sst_celsius,lss_class
2025-07-01,28.0100,121.0200,29.69,1
2025-07-01,28.0100,121.0400,29.57,1
2025-07-01,28.0100,121.0900,29.47,1
2025-07-01,28.0100,121.1700,29.43,1
2025-07-01,28.0100,121.1800,29.43,1
2025-07-01,28.0100,121.1900,29.43,1
2025-07-01,28.0100,121.2000,29.41,1
2025-07-01,28.0200,121.0200,29.66,1
2025-07-01,28.0200,121.0300,29.60,1
2025-07-01,28.0200,121.0400,29.55,1
2025-07-01,28.0200,121.0500,29.55,1
2025-07-01,28.0200,121.0600,29.48,1
2025-07-01,28.0200,121.0700,29.41,1
2025-07-01,28.0200,121.2400,29.35,1
2025-07-01,28.0300,121.0200,29.63,1
2025-07-01,28.0300,121.0300,29.60,1
2025-07-01,28.0300,121.0400,29.54,1
2025-07-01,28.0300,121.0500,29.55,1
2025-07-01,28.0300,121.0700,29.45,1
2025-07-01,28.0300,121.1800,29.46,1
2025-07-01,28.0300,121.4900,29.61,1
2025-07-01,28.0400,121.0200,29.67,1
2025-07-01,28.0400,121.0400,29.58,1
2025-07-01,28.0400,121.1800,29.47,1
2025-07-01,28.0500,121.0400,29.62,1
2025-07-01,28.0500,121.1400,29.52,1
2025-07-01,28.0500,121.2500,29.38,1
2025-07-01,28.0500,121.4000,29.32,1
2025-07-01,28.0600,121.0400,29.67,1
2025-07-01,28.0600,121.0700,29.53,1
2025-07-01,28.0600,121.2200,29.39,1
2025-07-01,28.0600,121.2300,29.34,1
2025-07-01,28.0600,121.2800,29.22,1
2025-07-01,28.0600,121.4000,29.32,1
2025-07-01,28.0600,121.4100,29.38,1
2025-07-01,28.0600,121.4200,29.36,1
2025-07-01,28.0700,121.0300,29.78,1
2025-07-01,28.0700,121.0500,29.72,1
2025-07-01,28.0700,121.0600,29.65,1
2025-07-01,28.0700,121.0700,29.60,1
2025-07-01,28.0700,121.2300,29.35,1
2025-07-01,28.0700,121.2600,29.35,1
2025-07-01,28.0700,121.2700,29.29,1
2025-07-01,28.0700,121.5300,29.66,1
2025-07-01,28.0800,121.0200,29.91,1
2025-07-01,28.0800,121.0300,29.85,1
2025-07-01,28.0800,121.0400,29.84,1
2025-07-01,28.0800,121.0500,29.80,1
2025-07-01,28.0800,121.0600,29.73,1
2025-07-01,28.0800,121.0700,29.67,1
2025-07-01,28.0800,121.5300,29.67,1
2025-07-01,28.0900,121.0300,29.87,1
2025-07-01,28.0900,121.0400,29.87,1
2025-07-01,28.0900,121.0500,29.84,1
2025-07-01,28.0900,121.0600,29.79,1
2025-07-01,28.0900,121.0700,29.73,1
2025-07-01,28.0900,121.0800,29.65,1
2025-07-01,28.0900,121.2800,29.36,1
2025-07-01,28.1000,121.0400,29.90,1
2025-07-01,28.1000,121.0500,29.88,1
2025-07-01,28.1000,121.0600,29.84,1
2025-07-01,28.1000,121.0700,29.79,1
2025-07-01,28.1000,121.0800,29.73,1
2025-07-01,28.1000,121.3200,29.35,1
2025-07-01,28.1000,121.3300,29.38,1
2025-07-01,28.1000,121.5000,29.69,1
2025-07-01,28.1100,121.0400,29.93,1
2025-07-01,28.1100,121.0500,29.90,1
2025-07-01,28.1100,121.0600,29.89,1
2025-07-01,28.1100,121.0700,29.86,1
2025-07-01,28.1100,121.0800,29.81,1
2025-07-01,28.1100,121.3000,29.35,1
2025-07-01,28.1100,121.3200,29.43,1
2025-07-01,28.1100,121.3400,29.51,1
2025-07-01,28.1100,121.3500,29.57,1
2025-07-01,28.1100,121.4000,29.64,1
2025-07-01,28.1100,121.4800,29.69,1
2025-07-01,28.1100,121.4900,29.71,1
2025-07-01,28.1100,121.5000,29.75,1
2025-07-01,28.1100,121.5100,29.75,1
2025-07-01,28.1100,121.5200,29.78,1
2025-07-01,28.1200,121.0500,29.92,1
2025-07-01,28.1200,121.0700,29.91,1
2025-07-01,28.1200,121.0800,29.86,1
2025-07-01,28.1200,121.1200,29.67,1
2025-07-01,28.1200,121.3000,29.41,1
