date,lat,lon,sst_celsius,lss_class
2025-07-16,28.0200,128.3000,29.87,1
2025-07-16,28.0300,128.2900,29.84,1
2025-07-16,28.0600,128.5500,29.88,1
2025-07-16,28.0700,127.8000,29.68,1
2025-07-16,28.1000,127.9200,29.69,1
2025-07-16,28.1100,123.2400,28.23,1
2025-07-16,28.1300,124.1400,28.76,1
2025-07-16,28.1300,128.0600,29.79,1
2025-07-16,28.1400,128.6200,29.86,1
2025-07-16,28.1500,128.1000,29.78,1
2025-07-16,28.1700,127.3700,29.37,1
2025-07-16,28.1800,127.9200,29.68,1
2025-07-16,28.2300,127.8700,29.71,1
2025-07-16,28.2800,128.5500,29.78,1
2025-07-16,28.4000,128.2200,29.70,1
2025-07-16,28.4200,124.7700,29.05,1
2025-07-16,28.4300,127.7100,29.55,1
2025-07-16,28.4300,128.6500,29.68,1
2025-07-16,28.4400,127.7100,29.56,1
2025-07-16,28.4400,128.2900,29.70,1
2025-07-16,28.4400,128.6700,29.71,1
2025-07-16,28.5100,121.6300,29.32,1
2025-07-16,28.5200,121.6300,29.30,1
2025-07-16,28.5200,121.6400,29.29,1
2025-07-16,28.5400,121.6500,29.25,1
2025-07-16,28.5400,121.6700,29.17,1
2025-07-16,28.5400,127.4700,29.35,1
2025-07-16,28.5600,121.6800,29.21,1
2025-07-16,28.5600,124.7300,28.99,1
2025-07-16,28.5700,124.7800,29.01,1
2025-07-16,28.5800,124.7100,28.95,1
2025-07-16,28.5800,124.8200,29.07,1
2025-07-16,28.5900,121.6800,29.30,1
2025-07-16,28.5900,121.7000,29.22,1
2025-07-16,28.6000,121.6800,29.34,1
2025-07-16,28.6000,121.6900,29.30,1
2025-07-16,28.6400,121.7400,29.31,1
2025-07-16,28.6500,121.7200,29.41,1
2025-07-16,28.6500,121.7300,29.39,1
2025-07-16,28.6500,121.7600,28.50,1
2025-07-16,28.6600,121.7200,29.46,1
2025-07-16,28.6600,121.7300,29.45,1
2025-07-16,28.6600,121.7400,29.42,1
2025-07-16,28.6600,121.7500,29.20,1
2025-07-16,28.6600,121.7600,28.78,1
2025-07-16,28.6700,121.7400,29.00,1
2025-07-16,28.6700,121.7600,28.97,1
2025-07-16,28.6900,121.7500,28.06,1
2025-07-16,28.6900,128.5900,29.74,1
2025-07-16,28.7300,124.7400,29.04,1
2025-07-16,28.7600,125.1800,29.31,1
2025-07-16,28.8100,127.8900,29.65,1
2025-07-16,28.8500,128.4000,29.85,1
2025-07-16,28.8600,124.8000,28.86,1
2025-07-16,28.8900,128.3100,29.72,1
2025-07-16,28.9000,125.3000,29.47,1
2025-07-16,29.0000,126.6000,29.32,1
2025-07-16,29.0300,126.4300,29.29,1
2025-07-16,29.0300,126.8600,29.31,1
2025-07-16,29.0600,126.4700,29.30,1
2025-07-16,29.0700,123.8600,28.16,1
2025-07-16,29.1500,126.8200,29.22,1
2025-07-16,29.1700,126.6900,29.17,1
2025-07-16,29.2600,126.5100,29.24,1
2025-07-16,29.2600,126.6200,29.21,1
2025-07-16,29.2900,125.5700,29.93,1
